domain_name,keyword_group,query,requested_cap,n_fetched,timestamp
Plant Biochemistry,"fatty-acyl disorder, thylakoid membranes, membrane fluidity, gel-to-liquid crystalline phase transition","Plant Biochemistry AND (""fatty-acyl disorder""[tiab] OR ""thylakoid membranes""[tiab] OR ""membrane fluidity""[tiab] OR ""gel-to-liquid crystalline phase transition""[tiab])",150,150,2026-07-02T13:41:46.277755+0000
Ecology,"mycorrhiza, myrmecophytes, mutualistic symbiosis, coevolutionary dynamics","Ecology AND (""mycorrhiza""[tiab] OR ""myrmecophytes""[tiab] OR ""mutualistic symbiosis""[tiab] OR ""coevolutionary dynamics""[tiab])",30,30,2026-07-02T13:41:49.506942+0000
Ecology,"coevolution, mutualistic symbiosis, myrmecophytes, nutrient exchange, mycorrhiza","Ecology AND (""coevolution""[tiab] OR ""mutualistic symbiosis""[tiab] OR ""myrmecophytes""[tiab] OR ""nutrient exchange""[tiab] OR ""mycorrhiza""[tiab])",30,30,2026-07-02T13:41:52.556963+0000
Ecology,"biotic interactions, ecosystem dynamics, ecological pyramid, energy flow, trophic level","Ecology AND (""biotic interactions""[tiab] OR ""ecosystem dynamics""[tiab] OR ""ecological pyramid""[tiab] OR ""energy flow""[tiab] OR ""trophic level""[tiab])",30,30,2026-07-02T13:41:56.024031+0000
Ecology,"ecological pyramid, energy flow, food web dynamics, trophic level, food chain dynamics","Ecology AND (""ecological pyramid""[tiab] OR ""energy flow""[tiab] OR ""food web dynamics""[tiab] OR ""trophic level""[tiab] OR ""food chain dynamics""[tiab])",30,30,2026-07-02T13:41:58.742852+0000
Ecology,"ecological pyramid, energy flow, trophic level, ecomechanism, ecostructure","Ecology AND (""ecological pyramid""[tiab] OR ""energy flow""[tiab] OR ""trophic level""[tiab] OR ""ecomechanism""[tiab] OR ""ecostructure""[tiab])",30,30,2026-07-02T13:42:01.230709+0000
Cardiac Anatomy,"myocardial structure, fibrous cardiac skeleton, atrioventricular septum, heart valves, cardiac structure","Cardiac Anatomy AND (""myocardial structure""[tiab] OR ""fibrous cardiac skeleton""[tiab] OR ""atrioventricular septum""[tiab] OR ""heart valves""[tiab] OR ""cardiac structure""[tiab])",150,150,2026-07-02T13:42:05.355632+0000
Environmental Science,"biological sciences, environmental studies, atmospheric sciences, Qatar University, marine science","Environmental Science AND (""biological sciences""[tiab] OR ""environmental studies""[tiab] OR ""atmospheric sciences""[tiab] OR ""Qatar University""[tiab] OR ""marine science""[tiab])",150,150,2026-07-02T13:42:08.571729+0000
Immunology,"Foxp3, TGF-β signaling, Tr1 cells, tolerogenic DCs, IL-10, Foxp3 expression, TGF-β","Immunology AND (""Foxp3""[tiab] OR ""TGF-β signaling""[tiab] OR ""Tr1 cells""[tiab] OR ""tolerogenic DCs""[tiab] OR ""IL-10""[tiab] OR ""Foxp3 expression""[tiab] OR ""TGF-β""[tiab])",150,150,2026-07-02T13:42:13.423156+0000
History Of Medicine,"physiological discovery, anatomical history, medical history, pulmonary circulation, Ibn al-Nafis","History Of Medicine AND (""physiological discovery""[tiab] OR ""anatomical history""[tiab] OR ""medical history""[tiab] OR ""pulmonary circulation""[tiab] OR ""Ibn al-Nafis""[tiab])",75,75,2026-07-02T13:42:17.577849+0000
History Of Medicine,"anatomical framework, pulmonary circulation, physiological history, Ibn al-Nafis, cardiovascular anatomy","History Of Medicine AND (""anatomical framework""[tiab] OR ""pulmonary circulation""[tiab] OR ""physiological history""[tiab] OR ""Ibn al-Nafis""[tiab] OR ""cardiovascular anatomy""[tiab])",75,75,2026-07-02T13:42:20.813770+0000
Cell Biology,"osmosis, electrochemical gradient, active transport, cellular energetics, passive transport","Cell Biology AND (""osmosis""[tiab] OR ""electrochemical gradient""[tiab] OR ""active transport""[tiab] OR ""cellular energetics""[tiab] OR ""passive transport""[tiab])",150,150,2026-07-02T13:42:24.521507+0000
Mammalian Physiology,"reproductive biology, mammary glands, mammalian anatomy, lactation","Mammalian Physiology AND (""reproductive biology""[tiab] OR ""mammary glands""[tiab] OR ""mammalian anatomy""[tiab] OR ""lactation""[tiab])",150,150,2026-07-02T13:42:28.692131+0000
