domain_name,arxiv_category
Astrophysics,astro-ph.SR; astro-ph.GA; astro-ph.HE
Theoretical Physics,gr-qc; hep-th
Fluid Dynamics,physics.flu-dyn
Quantum Mechanics,quant-ph
Thermodynamics,cond-mat.stat-mech
Particle Physics,hep-ph
General Relativity,gr-qc
Neuromorphic Engineering,cond-mat.mes-hall
Materials Science,cond-mat.mtrl-sci
Condensed Matter Physics,cond-mat.str-el; cond-mat.mes-hall; cond-mat.supr-con
Cosmology,astro-ph.CO
Crystallography,cond-mat.mtrl-sci
History Of Science,physics.hist-ph
Electromagnetism,physics.class-ph
Nuclear Physics,nucl-th; nucl-ex
Molecular Symmetry,physics.chem-ph; physics.atom-ph
Quantum Physics,quant-ph
Optics,physics.optics
Chaos Theory,nlin.CD
Optical Physics,physics.optics
Classical Mechanics,physics.class-ph
Astronomy,astro-ph.EP; astro-ph.IM
Wave Optics,physics.optics
Dimensional Analysis,physics.class-ph; physics.ed-ph
Statistical Physics,cond-mat.stat-mech
Geometry,math.MG; math.DG
Nanoelectronics,cond-mat.mes-hall
Astrochemistry,astro-ph.GA; physics.chem-ph
Spintronics,cond-mat.mes-hall
Optical Engineering,physics.optics; eess.SP
Extragalactic Astronomy,astro-ph.GA
Metrology,physics.ins-det; physics.atom-ph
Acoustics,physics.class-ph
Celestial Mechanics,astro-ph.EP
Atmospheric Science,physics.ao-ph
Wave Physics,physics.class-ph
Space Physics,physics.space-ph
Observational Cosmology,astro-ph.CO
Space Science,astro-ph.EP; physics.space-ph
Atmospheric Optics,physics.optics; physics.ao-ph
Algebraic Topology,math.AT
Photometry,astro-ph.IM
Geometry Theory,math.GR; math.HO
Quantum Chemistry,physics.chem-ph
Physics Units,physics.class-ph; physics.ed-ph
Control Systems Engineering,eess.SY
Probability Theory,math.PR
Hyperbolic Geometry,math.GT; math.MG
Magnetic Resonance Imaging,physics.med-ph
Cell Biology,q-bio.CB
Magnetism Physics,cond-mat.str-el; cond-mat.mes-hall
Computational Astrophysics,astro-ph.IM; gr-qc
Radiometry,physics.ins-det; physics.optics
Evolutionary Ecology,q-bio.PE
Complexity Theory,nlin.AO
Magnetic Resonance Spectroscopy,physics.chem-ph; cond-mat.mtrl-sci
Formal Logic,math.LO
Chronometry,physics.class-ph; astro-ph.IM
Projective Geometry,math.AG; math.GT
Mathematical Physics,math-ph
Quantum Magnetism,cond-mat.str-el
Optics Physics,physics.optics
Magnetic Resonance Physics,physics.chem-ph; cond-mat.mtrl-sci
Chemical Kinetics,physics.chem-ph
Magnetism,cond-mat.mes-hall
Electrical Engineering,eess.SY; eess.SP
