domain_name,count,domain_keywords
Plant Biochemistry,20,"[[""fatty-acyl disorder"", ""thylakoid membranes"", ""membrane fluidity"", ""gel-to-liquid crystalline phase transition""]]"
Ecology,18,"[[""mycorrhiza"", ""myrmecophytes"", ""mutualistic symbiosis"", ""coevolutionary dynamics""], [""coevolution"", ""mutualistic symbiosis"", ""myrmecophytes"", ""nutrient exchange"", ""mycorrhiza""], [""biotic interactions"", ""ecosystem dynamics"", ""ecological pyramid"", ""energy flow"", ""trophic level""], [""ecological pyramid"", ""energy flow"", ""food web dynamics"", ""trophic level"", ""food chain dynamics""], [""ecological pyramid"", ""energy flow"", ""trophic level"", ""ecomechanism"", ""ecostructure""]]"
Cardiac Anatomy,13,"[[""myocardial structure"", ""fibrous cardiac skeleton"", ""atrioventricular septum"", ""heart valves"", ""cardiac structure""]]"
Environmental Science,13,"[[""biological sciences"", ""environmental studies"", ""atmospheric sciences"", ""Qatar University"", ""marine science""]]"
Immunology,11,"[[""Foxp3"", ""TGF-β signaling"", ""Tr1 cells"", ""tolerogenic DCs"", ""IL-10"", ""Foxp3 expression"", ""TGF-β""]]"
History Of Medicine,10,"[[""physiological discovery"", ""anatomical history"", ""medical history"", ""pulmonary circulation"", ""Ibn al-Nafis""], [""anatomical framework"", ""pulmonary circulation"", ""physiological history"", ""Ibn al-Nafis"", ""cardiovascular anatomy""]]"
Cell Biology,9,"[[""osmosis"", ""electrochemical gradient"", ""active transport"", ""cellular energetics"", ""passive transport""]]"
Mammalian Physiology,9,"[[""reproductive biology"", ""mammary glands"", ""mammalian anatomy"", ""lactation""]]"
Microbial Ecology,8,"[[""metagenomics"", ""bacteriophages"", ""phageome"", ""microbial communities""]]"
Evolutionary Developmental Biology,7,"[[""transcription factors"", ""Antirrhinum majus"", ""bilateral symmetry"", ""developmental pathways"", ""CYCLOIDEA genes"", ""floral morphology""]]"
Plant Morphology,7,"[[""organ structure"", ""floral leaves"", ""organography"", ""apical meristems"", ""plant development""], [""organ development"", ""plant anatomy"", ""organography"", ""botanical structure"", ""apical meristems""]]"
Biological Sciences,5,"[[""structural anatomy"", ""taxonomical categorization"", ""morphology"", ""body plan""], [""organismal anatomy"", ""structural biology"", ""morphology"", ""functional morphology""], [""anatomical definition"", ""organismal structure"", ""body plan analysis"", ""structural biology"", ""morphology""]]"
