arxiv_category,keyword_group,query,requested_cap,n_fetched,timestamp
physics.hist-ph,"Copernican principle, Giordano Bruno, celestial mechanics, astronomical philosophy, heliocentrism","cat:physics.hist-ph AND (all:""Copernican principle"" OR all:""Giordano Bruno"" OR all:""celestial mechanics"" OR all:""astronomical philosophy"" OR all:""heliocentrism"")",18,18,2026-07-02T10:44:24.669245+0000
physics.hist-ph,"gravitational force, centripetal force, Hooke-Newton correspondence, Newtonian mechanics","cat:physics.hist-ph AND (all:""gravitational force"" OR all:""centripetal force"" OR all:""Hooke-Newton correspondence"" OR all:""Newtonian mechanics"")",18,18,2026-07-02T10:44:29.093806+0000
physics.hist-ph,"Copernican principle, Giordano Bruno, Copernican concept, Renaissance philosophy, heliocentrism","cat:physics.hist-ph AND (all:""Copernican principle"" OR all:""Giordano Bruno"" OR all:""Copernican concept"" OR all:""Renaissance philosophy"" OR all:""heliocentrism"")",18,18,2026-07-02T10:44:33.204830+0000
physics.hist-ph,"celestial mechanics, Giordano Bruno, Copernican framework, astronomical philosophy","cat:physics.hist-ph AND (all:""celestial mechanics"" OR all:""Giordano Bruno"" OR all:""Copernican framework"" OR all:""astronomical philosophy"")",18,16,2026-07-02T10:44:36.818039+0000
physics.hist-ph,"classical mechanics history, gravitational force, centripetal force, Newton-Hooke correspondence","cat:physics.hist-ph AND (all:""classical mechanics history"" OR all:""gravitational force"" OR all:""centripetal force"" OR all:""Newton-Hooke correspondence"")",18,8,2026-07-02T10:44:40.427868+0000
physics.hist-ph,"inverse square law, tangential motion, radially directed force, Newton's manuscripts, linear inertia, Hooke's work","cat:physics.hist-ph AND (all:""inverse square law"" OR all:""tangential motion"" OR all:""radially directed force"" OR all:""Newton's manuscripts"" OR all:""linear inertia"" OR all:""Hooke's work"")",18,7,2026-07-02T10:44:44.231628+0000
physics.hist-ph,"Isaac Newton, centripetal force, scientific correspondence, Robert Hooke, gravitational theory","cat:physics.hist-ph AND (all:""Isaac Newton"" OR all:""centripetal force"" OR all:""scientific correspondence"" OR all:""Robert Hooke"" OR all:""gravitational theory"")",18,18,2026-07-02T10:44:48.285818+0000
physics.hist-ph,"Giordano Bruno, Copernican concept, Copernican framework, Copernican theory, astronomical philosophy, heliocentrism","cat:physics.hist-ph AND (all:""Giordano Bruno"" OR all:""Copernican concept"" OR all:""Copernican framework"" OR all:""Copernican theory"" OR all:""astronomical philosophy"" OR all:""heliocentrism"")",18,18,2026-07-02T10:45:07.704256+0000
cond-mat.mtrl-sci,"electrical resistance, lattice vibrations, metallic conductivity, ionic impurities","cat:cond-mat.mtrl-sci AND (all:""electrical resistance"" OR all:""lattice vibrations"" OR all:""metallic conductivity"" OR all:""ionic impurities"")",13,13,2026-07-02T10:45:12.015912+0000
cond-mat.mtrl-sci,"transformation temperature, proeutectoid, microstructure, phase transformation, base metal solidification, solidification, eutectoid level","cat:cond-mat.mtrl-sci AND (all:""transformation temperature"" OR all:""proeutectoid"" OR all:""microstructure"" OR all:""phase transformation"" OR all:""base metal solidification"" OR all:""solidification"" OR all:""eutectoid level"")",13,13,2026-07-02T10:45:16.607201+0000
cond-mat.mtrl-sci,"non-crystalline alloys, electrical resistivity, coercivity, low coercivity, hysteresis loss, amorphous ferromagnetic metallic alloys, high permeability","cat:cond-mat.mtrl-sci AND (all:""non-crystalline alloys"" OR all:""electrical resistivity"" OR all:""coercivity"" OR all:""low coercivity"" OR all:""hysteresis loss"" OR all:""amorphous ferromagnetic metallic alloys"" OR all:""high permeability"")",13,13,2026-07-02T10:45:22.600526+0000
cond-mat.mtrl-sci,"shear strength, mechanical properties, metallurgy, upper critical temperature, tensile strength, grain growth","cat:cond-mat.mtrl-sci AND (all:""shear strength"" OR all:""mechanical properties"" OR all:""metallurgy"" OR all:""upper critical temperature"" OR all:""tensile strength"" OR all:""grain growth"")",13,13,2026-07-02T10:45:30.221767+0000
