arxiv_category,aggregated_keywords,contributing_domains
physics.hist-ph,"[[""Copernican principle"", ""Giordano Bruno"", ""celestial mechanics"", ""astronomical philosophy"", ""heliocentrism""], [""gravitational force"", ""centripetal force"", ""Hooke-Newton correspondence"", ""Newtonian mechanics""], [""Copernican principle"", ""Giordano Bruno"", ""Copernican concept"", ""Renaissance philosophy"", ""heliocentrism""], [""celestial mechanics"", ""Giordano Bruno"", ""Copernican framework"", ""astronomical philosophy""], [""classical mechanics history"", ""gravitational force"", ""centripetal force"", ""Newton-Hooke correspondence""], [""inverse square law"", ""tangential motion"", ""radially directed force"", ""Newton's manuscripts"", ""linear inertia"", ""Hooke's work""], [""Isaac Newton"", ""centripetal force"", ""scientific correspondence"", ""Robert Hooke"", ""gravitational theory""], [""Giordano Bruno"", ""Copernican concept"", ""Copernican framework"", ""Copernican theory"", ""astronomical philosophy"", ""heliocentrism""]]",History Of Science
cond-mat.mtrl-sci,"[[""electrical resistance"", ""lattice vibrations"", ""metallic conductivity"", ""ionic impurities""], [""transformation temperature"", ""proeutectoid"", ""microstructure"", ""phase transformation"", ""base metal solidification"", ""solidification"", ""eutectoid level""], [""non-crystalline alloys"", ""electrical resistivity"", ""coercivity"", ""low coercivity"", ""hysteresis loss"", ""amorphous ferromagnetic metallic alloys"", ""high permeability""], [""shear strength"", ""mechanical properties"", ""metallurgy"", ""upper critical temperature"", ""tensile strength"", ""grain growth""], [""electrical resistance"", ""lattice vibrations"", ""thermal vibration"", ""metallic purity"", ""ionic irregularities""], [""high-frequency optics"", ""high-frequency response"", ""high-frequency refraction"", ""optical transparency"", ""electromagnetic absorption"", ""dielectric loss"", ""material transparency""], [""electromagnetic absorption"", ""high-frequency propagation"", ""dielectric loss"", ""material transparency""], [""crystal oscillators"", ""piezoelectric strain coefficient"", ""electromechanical coupling"", ""AT-cut quartz"", ""crystal lattice""], [""inversion point"", ""mirror plane"", ""improper rotation"", ""symmetry elements"", ""rotation axis""], [""three-dimensional space"", ""crystallographic point groups"", ""crystal systems"", ""symmetry operations""], [""NMR frequency"", ""magnetic susceptibility"", ""crystal susceptibility"", ""magnetic field distortion"", ""Evans balance""]]",Materials Science; Crystallography; Magnetic Resonance Spectroscopy; Magnetic Resonance Physics
nlin.AO,"[[""Ilya Prigogine"", ""complexity from noise"", ""dissipative structures"", ""non-equilibrium thermodynamics""]]",Complexity Theory
physics.ao-ph,"[[""emerging organized systems"", ""large-scale processes"", ""emerging organized structures"", ""aggregated feedback"", ""time-varying multistability""], [""large-scale processes"", ""organized frameworks"", ""aggregated feedback"", ""time-varying multistability"", ""chaotic dynamics""], [""emerging organized frameworks"", ""large-scale processes"", ""aggregated feedback"", ""time-varying multistability"", ""emerging organized mechanisms""], [""atmospheric refraction"", ""light wavelength"", ""spectral absorption"", ""Rayleigh scattering""]]",Atmospheric Science; Atmospheric Optics
math.PR,"[[""probability mass function"", ""probability density function"", ""continuous vs discrete distributions"", ""random variables""]]",Probability Theory
cond-mat.str-el,"[[""magnetic fields"", ""De Haas-Van Alphen effect"", ""magnetization"", ""Fermi surface"", ""differential susceptibility""], [""quantum phenomena"", ""magnetic field"", ""electromagnetic phenomena"", ""spin axis"", ""superconductor"", ""quantum mechanics""], [""density of states"", ""metallic conductivity"", ""electronic entropy"", ""Fermi level"", ""insulator properties""], [""microscopic length scales"", ""permittivity"", ""wavevector dependence"", ""material parameters"", ""spatial dispersion"", ""continuous media""], [""density of states"", ""solid-state physics"", ""electronic entropy"", ""Fermi level"", ""insulators and metals""], [""physical structure"", ""physical systems"", ""phase transitions"", ""symmetry breaking"", ""order parameter""], [""physical framework"", ""physical mechanisms"", ""phase transitions"", ""symmetry breaking"", ""order parameter""], [""magnetic field oscillations"", ""AC permeability"", ""De Haas-Van Alphen effect"", ""Fermi surface"", ""differential susceptibility""], [""collective field"", ""electromagnetic gauge symmetry"", ""superconductors"", ""order parameter""], [""magnetization dynamics"", ""precessional motion"", ""Landau-Lifshitz-Gilbert equation"", ""ferromagnetic materials"", ""micromagnetics""], [""magnetic dipoles"", ""paramagnetism"", ""unpaired electrons"", ""thermal agitation"", ""magnetic moments"", ""dipole interaction"", ""permanent moment"", ""angular momentum""]]",Condensed Matter Physics; Magnetism Physics; Quantum Magnetism
astro-ph.GA,"[[""molecular clouds"", ""internal pressure"", ""stellar formation"", ""interstellar medium"", ""gravitational collapse""], [""gravitationally bound"", ""orbital mechanics"", ""non-stellar objects"", ""planetary structure""], [""astronomical spectroscopy"", ""stellar velocity"", ""Doppler effect"", ""Fraunhofer lines""], [""energy shifts"", ""radiation field"", ""blueshifting"", ""redshifting"", ""light-matter interactions""], [""cosmic rays"", ""galactic gas"", ""ionic and molecular matter"", ""interstellar medium""], [""celestial mechanics"", ""Roche limit"", ""tidal forces"", ""gravitational disintegration"", ""orbital mechanics"", ""orbital dynamics""], [""supermassive black hole"", ""Sagittarius A*"", ""stellar orbits"", ""solar mass units""], [""Crab pulsar"", ""neutron star model"", ""compact objects"", ""pulsar astronomy"", ""stellar evolution"", ""rotating neutron star""], [""ionic gas"", ""galactic matter"", ""cosmic rays"", ""galactic framework"", ""interstellar medium""], [""stellar velocity"", ""Doppler effect"", ""redshift"", ""observational astronomy"", ""astronomical observation""], [""astronomical measurements"", ""stellar magnitude"", ""apparent brightness"", ""astronomical measurement"", ""logarithmic scale""], [""Modified Newtonian Dynamics"", ""baryonic mass"", ""velocity dispersions"", ""galaxy clusters""], [""light travel time"", ""celestial observation"", ""orbital mechanics"", ""light-travel time"", ""planetary motion""], [""ionic gas"", ""cosmic rays"", ""interstellar medium"", ""galactic structures"", ""intergalactic space""], [""astronomical distance"", ""astronomical measurements"", ""stellar metallicity"", ""stellar composition"", ""Kapteyn's star""], [""supernova types"", ""progenitor star"", ""stellar metallicity"", ""stellar evolution"", ""progenitor stars""], [""spectral analysis"", ""ultraviolet absorption"", ""interstellar medium"", ""atomic hydrogen"", ""Lyman-alpha transition""], [""Preon stars"", ""WIMPs"", ""MACHOs"", ""axions"", ""cold dark matter""], [""Penrose process"", ""black hole dynamics"", ""rotational energy"", ""ergosphere""], [""hydrostatic equilibrium"", ""molecular clouds"", ""stellar formation"", ""gravitational collapse""], [""galactic dynamics"", ""dark matter"", ""Modified Newtonian Dynamics"", ""general relativity"", ""universal gravitation""], [""stellar evolution"", ""stellar composition"", ""metallicity"", ""Kapteyn's star"", ""solar abundance""], [""supermassive black hole"", ""solar mass"", ""Sagittarius A*"", ""stellar orbits"", ""orbital mechanics"", ""solar masses""], [""LIGO"", ""parallel analysis"", ""gravitational waves"", ""binary black holes"", ""Einstein@Home"", ""distributed computing""], [""synchrotron emission"", ""supernova remnants"", ""high-velocity electrons"", ""ionized gas"", ""non-thermal emission"", ""magnetic fields""], [""stellar luminosity"", ""Hertzsprung-Russell diagram"", ""stellar evolution"", ""dwarf stars"", ""main sequence""], [""substellar mass"", ""Class L dwarfs"", ""metal hydrides"", ""hydrogen fusion"", ""brown dwarfs""], [""organic molecules"", ""Stardust mission"", ""molecular ices"", ""interstellar ices"", ""cometary chemistry"", ""interstellar chemistry""], [""galactic morphology"", ""surface brightness"", ""isophotal diameter"", ""observational astronomy""], [""observational cosmology"", ""apparent surface brightness"", ""galactic morphology"", ""isophotal diameter"", ""observational astronomy""]]",Astrophysics; Astrochemistry; Extragalactic Astronomy
math.DG,"[[""degrees of freedom"", ""mathematical dimension"", ""intrinsic property"", ""coordinate systems"", ""extrinsic property""], [""degrees of freedom"", ""mathematical dimension"", ""independent parameters"", ""spatial embedding"", ""extrinsic property""], [""geometric shapes"", ""regular polytope"", ""geometric symmetry"", ""symmetry group"", ""flag-transitivity""]]",Geometry
astro-ph.HE,"[[""molecular clouds"", ""internal pressure"", ""stellar formation"", ""interstellar medium"", ""gravitational collapse""], [""gravitationally bound"", ""orbital mechanics"", ""non-stellar objects"", ""planetary structure""], [""astronomical spectroscopy"", ""stellar velocity"", ""Doppler effect"", ""Fraunhofer lines""], [""energy shifts"", ""radiation field"", ""blueshifting"", ""redshifting"", ""light-matter interactions""], [""cosmic rays"", ""galactic gas"", ""ionic and molecular matter"", ""interstellar medium""], [""celestial mechanics"", ""Roche limit"", ""tidal forces"", ""gravitational disintegration"", ""orbital mechanics"", ""orbital dynamics""], [""supermassive black hole"", ""Sagittarius A*"", ""stellar orbits"", ""solar mass units""], [""Crab pulsar"", ""neutron star model"", ""compact objects"", ""pulsar astronomy"", ""stellar evolution"", ""rotating neutron star""], [""ionic gas"", ""galactic matter"", ""cosmic rays"", ""galactic framework"", ""interstellar medium""], [""stellar velocity"", ""Doppler effect"", ""redshift"", ""observational astronomy"", ""astronomical observation""], [""astronomical measurements"", ""stellar magnitude"", ""apparent brightness"", ""astronomical measurement"", ""logarithmic scale""], [""Modified Newtonian Dynamics"", ""baryonic mass"", ""velocity dispersions"", ""galaxy clusters""], [""light travel time"", ""celestial observation"", ""orbital mechanics"", ""light-travel time"", ""planetary motion""], [""ionic gas"", ""cosmic rays"", ""interstellar medium"", ""galactic structures"", ""intergalactic space""], [""astronomical distance"", ""astronomical measurements"", ""stellar metallicity"", ""stellar composition"", ""Kapteyn's star""], [""supernova types"", ""progenitor star"", ""stellar metallicity"", ""stellar evolution"", ""progenitor stars""], [""spectral analysis"", ""ultraviolet absorption"", ""interstellar medium"", ""atomic hydrogen"", ""Lyman-alpha transition""], [""Preon stars"", ""WIMPs"", ""MACHOs"", ""axions"", ""cold dark matter""], [""Penrose process"", ""black hole dynamics"", ""rotational energy"", ""ergosphere""], [""hydrostatic equilibrium"", ""molecular clouds"", ""stellar formation"", ""gravitational collapse""], [""galactic dynamics"", ""dark matter"", ""Modified Newtonian Dynamics"", ""general relativity"", ""universal gravitation""], [""stellar evolution"", ""stellar composition"", ""metallicity"", ""Kapteyn's star"", ""solar abundance""], [""supermassive black hole"", ""solar mass"", ""Sagittarius A*"", ""stellar orbits"", ""orbital mechanics"", ""solar masses""], [""LIGO"", ""parallel analysis"", ""gravitational waves"", ""binary black holes"", ""Einstein@Home"", ""distributed computing""], [""synchrotron emission"", ""supernova remnants"", ""high-velocity electrons"", ""ionized gas"", ""non-thermal emission"", ""magnetic fields""], [""stellar luminosity"", ""Hertzsprung-Russell diagram"", ""stellar evolution"", ""dwarf stars"", ""main sequence""], [""substellar mass"", ""Class L dwarfs"", ""metal hydrides"", ""hydrogen fusion"", ""brown dwarfs""]]",Astrophysics
cond-mat.supr-con,"[[""magnetic fields"", ""De Haas-Van Alphen effect"", ""magnetization"", ""Fermi surface"", ""differential susceptibility""], [""quantum phenomena"", ""magnetic field"", ""electromagnetic phenomena"", ""spin axis"", ""superconductor"", ""quantum mechanics""], [""density of states"", ""metallic conductivity"", ""electronic entropy"", ""Fermi level"", ""insulator properties""], [""microscopic length scales"", ""permittivity"", ""wavevector dependence"", ""material parameters"", ""spatial dispersion"", ""continuous media""], [""density of states"", ""solid-state physics"", ""electronic entropy"", ""Fermi level"", ""insulators and metals""], [""physical structure"", ""physical systems"", ""phase transitions"", ""symmetry breaking"", ""order parameter""], [""physical framework"", ""physical mechanisms"", ""phase transitions"", ""symmetry breaking"", ""order parameter""], [""magnetic field oscillations"", ""AC permeability"", ""De Haas-Van Alphen effect"", ""Fermi surface"", ""differential susceptibility""], [""collective field"", ""electromagnetic gauge symmetry"", ""superconductors"", ""order parameter""]]",Condensed Matter Physics
