domain_name,keyword_group,query,requested_cap,n_fetched,timestamp
Plant Biochemistry,"fatty-acyl disorder, thylakoid membranes, membrane fluidity, gel-to-liquid crystalline phase transition","Plant Biochemistry AND (""fatty-acyl disorder""[tiab] OR ""thylakoid membranes""[tiab] OR ""membrane fluidity""[tiab] OR ""gel-to-liquid crystalline phase transition""[tiab])",150,150,2026-07-03T13:03:00.244152+0000
Ecology,"mycorrhiza, myrmecophytes, mutualistic symbiosis, coevolutionary dynamics","Ecology AND (""mycorrhiza""[tiab] OR ""myrmecophytes""[tiab] OR ""mutualistic symbiosis""[tiab] OR ""coevolutionary dynamics""[tiab])",30,30,2026-07-03T13:03:02.345780+0000
Ecology,"coevolution, mutualistic symbiosis, myrmecophytes, nutrient exchange, mycorrhiza","Ecology AND (""coevolution""[tiab] OR ""mutualistic symbiosis""[tiab] OR ""myrmecophytes""[tiab] OR ""nutrient exchange""[tiab] OR ""mycorrhiza""[tiab])",30,30,2026-07-03T13:03:05.395926+0000
Ecology,"biotic interactions, ecosystem dynamics, ecological pyramid, energy flow, trophic level","Ecology AND (""biotic interactions""[tiab] OR ""ecosystem dynamics""[tiab] OR ""ecological pyramid""[tiab] OR ""energy flow""[tiab] OR ""trophic level""[tiab])",30,30,2026-07-03T13:03:07.919290+0000
Ecology,"ecological pyramid, energy flow, food web dynamics, trophic level, food chain dynamics","Ecology AND (""ecological pyramid""[tiab] OR ""energy flow""[tiab] OR ""food web dynamics""[tiab] OR ""trophic level""[tiab] OR ""food chain dynamics""[tiab])",30,30,2026-07-03T13:03:11.109228+0000
Ecology,"ecological pyramid, energy flow, trophic level, ecomechanism, ecostructure","Ecology AND (""ecological pyramid""[tiab] OR ""energy flow""[tiab] OR ""trophic level""[tiab] OR ""ecomechanism""[tiab] OR ""ecostructure""[tiab])",30,30,2026-07-03T13:03:14.012737+0000
Cardiac Anatomy,"myocardial structure, fibrous cardiac skeleton, atrioventricular septum, heart valves, cardiac structure","Cardiac Anatomy AND (""myocardial structure""[tiab] OR ""fibrous cardiac skeleton""[tiab] OR ""atrioventricular septum""[tiab] OR ""heart valves""[tiab] OR ""cardiac structure""[tiab])",150,150,2026-07-03T13:03:18.055289+0000
Environmental Science,"biological sciences, environmental studies, atmospheric sciences, Qatar University, marine science","Environmental Science AND (""biological sciences""[tiab] OR ""environmental studies""[tiab] OR ""atmospheric sciences""[tiab] OR ""Qatar University""[tiab] OR ""marine science""[tiab])",150,150,2026-07-03T13:03:21.430176+0000
Immunology,"Foxp3 expression, TGF-β signaling, tolerogenic DCs, Tr1 cells, IL-10","Immunology AND (""Foxp3 expression""[tiab] OR ""TGF-β signaling""[tiab] OR ""tolerogenic DCs""[tiab] OR ""Tr1 cells""[tiab] OR ""IL-10""[tiab])",150,150,2026-07-03T13:03:25.275044+0000
History Of Medicine,"physiological discovery, anatomical history, medical history, pulmonary circulation, Ibn al-Nafis","History Of Medicine AND (""physiological discovery""[tiab] OR ""anatomical history""[tiab] OR ""medical history""[tiab] OR ""pulmonary circulation""[tiab] OR ""Ibn al-Nafis""[tiab])",75,75,2026-07-03T13:03:27.603351+0000
History Of Medicine,"anatomical framework, pulmonary circulation, physiological history, Ibn al-Nafis, cardiovascular anatomy","History Of Medicine AND (""anatomical framework""[tiab] OR ""pulmonary circulation""[tiab] OR ""physiological history""[tiab] OR ""Ibn al-Nafis""[tiab] OR ""cardiovascular anatomy""[tiab])",75,0,2026-07-03T13:03:32.891260+0000
Cell Biology,"osmosis, electrochemical gradient, active transport, cellular energetics, passive transport","Cell Biology AND (""osmosis""[tiab] OR ""electrochemical gradient""[tiab] OR ""active transport""[tiab] OR ""cellular energetics""[tiab] OR ""passive transport""[tiab])",150,150,2026-07-03T13:03:36.133957+0000
Mammalian Physiology,"reproductive biology, mammary glands, mammalian anatomy, lactation","Mammalian Physiology AND (""reproductive biology""[tiab] OR ""mammary glands""[tiab] OR ""mammalian anatomy""[tiab] OR ""lactation""[tiab])",150,150,2026-07-03T13:03:39.705684+0000
Microbial Ecology,"metagenomics, bacteriophages, phageome, microbial communities","Microbial Ecology AND (""metagenomics""[tiab] OR ""bacteriophages""[tiab] OR ""phageome""[tiab] OR ""microbial communities""[tiab])",150,150,2026-07-03T13:03:44.069782+0000
Evolutionary Developmental Biology,"developmental pathways, transcription factors, bilateral symmetry, Antirrhinum majus, floral morphology","Evolutionary Developmental Biology AND (""developmental pathways""[tiab] OR ""transcription factors""[tiab] OR ""bilateral symmetry""[tiab] OR ""Antirrhinum majus""[tiab] OR ""floral morphology""[tiab])",150,150,2026-07-03T13:03:47.385079+0000
Plant Morphology,"organ structure, floral leaves, organography, apical meristems, plant development","Plant Morphology AND (""organ structure""[tiab] OR ""floral leaves""[tiab] OR ""organography""[tiab] OR ""apical meristems""[tiab] OR ""plant development""[tiab])",75,75,2026-07-03T13:03:50.294814+0000
Plant Morphology,"organ development, plant anatomy, organography, botanical structure, apical meristems","Plant Morphology AND (""organ development""[tiab] OR ""plant anatomy""[tiab] OR ""organography""[tiab] OR ""botanical structure""[tiab] OR ""apical meristems""[tiab])",75,75,2026-07-03T13:03:53.112950+0000
Biological Sciences,"structural anatomy, taxonomical categorization, morphology, body plan","Biological Sciences AND (""structural anatomy""[tiab] OR ""taxonomical categorization""[tiab] OR ""morphology""[tiab] OR ""body plan""[tiab])",50,50,2026-07-03T13:03:55.874480+0000
