domain_name,queries_attempted,pages_fetched,timestamp
Astrophysics,"Astrophysics, gravitational disintegration, Modified Newtonian Dynamics, Hertzsprung-Russell diagram, ionic and molecular matter",5,2026-07-03T12:31:13.020951+0000
Theoretical Physics,"Theoretical Physics, stochastic supersymmetric principle, spontaneous symmetry breaking, non-inertial reference frame, tensor–vector–scalar gravity",5,2026-07-03T12:31:27.561791+0000
Fluid Dynamics,"Fluid Dynamics, velocity-pressure relationship, partial differential equations, coherent turbulent structures, time-averaged statistics",5,2026-07-03T12:31:41.789842+0000
Quantum Mechanics,"Quantum Mechanics, supersymmetric quantum mechanics, Heisenberg uncertainty principle, quasiprobability distribution, Ramsauer-Townsend effect",5,2026-07-03T12:31:57.154177+0000
Thermodynamics,"Thermodynamics, inhomogeneous physical structure, second law of thermodynamics, heat energy interconversions, reactive Leidenfrost effect",4,2026-07-03T12:32:10.611563+0000
Particle Physics,"Particle Physics, matter-antimatter asymmetry, interaction cross section, Kobayashi-Maskawa matrix, effective supersymmetry",5,2026-07-03T12:32:26.749427+0000
General Relativity,"General Relativity, time-varying gravitational fields, general principle of relativity, gravitomagnetic interaction, Einstein's field equations",5,2026-07-03T12:32:41.114675+0000
Condensed Matter Physics,"Condensed Matter Physics, electromagnetic gauge symmetry, differential susceptibility, magnetic field oscillations, De Haas-Van Alphen effect",5,2026-07-03T12:32:54.601797+0000
Materials Science,"Materials Science, amorphous ferromagnetic metallic alloys, piezoelectric strain coefficient, transformation temperature, electromagnetic absorption",5,2026-07-03T12:33:08.529895+0000
Neuromorphic Engineering,"Neuromorphic Engineering, two-terminal resistance memory, inactivity-based forgetting, Type-II non-crossing curve, pinched hysteresis curves",3,2026-07-03T12:33:21.204340+0000
Cosmology,"Cosmology, redshift-distance relationship, Baryon Acoustic Oscillations, matter-antimatter imbalance, cosmic microwave background",5,2026-07-03T12:33:35.562312+0000
Crystallography,"Crystallography, crystallographic point groups, three-dimensional space, symmetry operations, improper rotation",5,2026-07-03T12:33:49.571047+0000
History Of Science,"History Of Science, Hooke-Newton correspondence, classical mechanics history, astronomical philosophy, radially directed force",4,2026-07-03T12:34:03.514676+0000
Electromagnetism,"Electromagnetism, magnetizing field intensity, electrostatic interaction, SI fundamental quantities, magnetic susceptibility",5,2026-07-03T12:34:19.184429+0000
Molecular Symmetry,"Molecular Symmetry, permutation-inversion groups, symmetry operations, molecular geometry, identity operation",5,2026-07-03T12:34:33.529062+0000
Quantum Physics,"Quantum Physics, electromagnetic radiation, ultraviolet catastrophe, magnetic flux quantum, energy distribution",5,2026-07-03T12:34:47.654717+0000
Nuclear Physics,"Nuclear Physics, accelerator-based light-ion fusion, transient condensation cloud, particle kinetic energies, high-voltage transformer",5,2026-07-03T12:35:01.987105+0000
Optics,"Optics, total internal reflection, principle of least time, rectilinear propagation, circular polarization",5,2026-07-03T12:35:17.760204+0000
Plant Biochemistry,"Plant Biochemistry, fatty-acyl disorder, thylakoid membranes, membrane fluidity, gel-to-liquid crystalline phase transition",5,2026-07-03T12:35:31.889158+0000
Chaos Theory,"Chaos Theory, distributed causality, sensitive dependence, unstable equilibrium, initial conditions",4,2026-07-03T12:35:45.587009+0000
Ecology,"Ecology, coevolutionary dynamics, mutualistic symbiosis, biotic interactions, ecological pyramid",5,2026-07-03T12:35:59.331675+0000
Optical Physics,"Optical Physics, incident light absorption, total internal reflection, evanescent-wave coupling, indirect photophoresis",5,2026-07-03T12:36:13.259191+0000
Classical Mechanics,"Classical Mechanics, Newton's laws of motion, force-mass-acceleration, macroscopic objects, physical quantities",5,2026-07-03T12:36:27.389276+0000
Astronomy,"Astronomy, astronomical distances, gravitationally bound, planetary framework, non-stellar objects",5,2026-07-03T12:36:42.135139+0000
