domain_name,count,domain_keywords
Astrophysics,195,"[[""molecular clouds"", ""internal pressure"", ""stellar formation"", ""interstellar medium"", ""gravitational collapse""], [""gravitationally bound"", ""orbital mechanics"", ""non-stellar objects"", ""planetary structure""], [""astronomical spectroscopy"", ""stellar velocity"", ""Doppler effect"", ""Fraunhofer lines""], [""energy shifts"", ""radiation field"", ""blueshifting"", ""redshifting"", ""light-matter interactions""], [""cosmic rays"", ""galactic gas"", ""ionic and molecular matter"", ""interstellar medium""], [""celestial mechanics"", ""Roche limit"", ""tidal forces"", ""gravitational disintegration"", ""orbital mechanics"", ""orbital dynamics""], [""supermassive black hole"", ""Sagittarius A*"", ""stellar orbits"", ""solar mass units""], [""Crab pulsar"", ""neutron star model"", ""compact objects"", ""pulsar astronomy"", ""stellar evolution"", ""rotating neutron star""], [""ionic gas"", ""galactic matter"", ""cosmic rays"", ""galactic framework"", ""interstellar medium""], [""stellar velocity"", ""Doppler effect"", ""redshift"", ""observational astronomy"", ""astronomical observation""], [""astronomical measurements"", ""stellar magnitude"", ""apparent brightness"", ""astronomical measurement"", ""logarithmic scale""], [""Modified Newtonian Dynamics"", ""baryonic mass"", ""velocity dispersions"", ""galaxy clusters""], [""light travel time"", ""celestial observation"", ""orbital mechanics"", ""light-travel time"", ""planetary motion""], [""ionic gas"", ""cosmic rays"", ""interstellar medium"", ""galactic structures"", ""intergalactic space""], [""astronomical distance"", ""astronomical measurements"", ""stellar metallicity"", ""stellar composition"", ""Kapteyn's star""], [""supernova types"", ""progenitor star"", ""stellar metallicity"", ""stellar evolution"", ""progenitor stars""], [""spectral analysis"", ""ultraviolet absorption"", ""interstellar medium"", ""atomic hydrogen"", ""Lyman-alpha transition""], [""Preon stars"", ""WIMPs"", ""MACHOs"", ""axions"", ""cold dark matter""], [""Penrose process"", ""black hole dynamics"", ""rotational energy"", ""ergosphere""], [""hydrostatic equilibrium"", ""molecular clouds"", ""stellar formation"", ""gravitational collapse""], [""galactic dynamics"", ""dark matter"", ""Modified Newtonian Dynamics"", ""general relativity"", ""universal gravitation""], [""stellar evolution"", ""stellar composition"", ""metallicity"", ""Kapteyn's star"", ""solar abundance""], [""supermassive black hole"", ""solar mass"", ""Sagittarius A*"", ""stellar orbits"", ""orbital mechanics"", ""solar masses""], [""LIGO"", ""parallel analysis"", ""gravitational waves"", ""binary black holes"", ""Einstein@Home"", ""distributed computing""], [""synchrotron emission"", ""supernova remnants"", ""high-velocity electrons"", ""ionized gas"", ""non-thermal emission"", ""magnetic fields""], [""stellar luminosity"", ""Hertzsprung-Russell diagram"", ""stellar evolution"", ""dwarf stars"", ""main sequence""], [""substellar mass"", ""Class L dwarfs"", ""metal hydrides"", ""hydrogen fusion"", ""brown dwarfs""]]"
Theoretical Physics,151,"[[""butterfly effect"", ""INUS conditions"", ""unstable equilibrium"", ""Newtonian physics"", ""distributed causality""], [""coordinate framework"", ""gravitational waves"", ""speed of gravity"", ""general relativity""], [""coordinate systems"", ""gravitational waves"", ""propagation speed"", ""general relativity""], [""equations of motion"", ""symmetry groups"", ""explicit symmetry breaking"", ""theoretical framework""], [""regularization"", ""mass-energy"", ""singularities"", ""renormalization"", ""quantum field theory""], [""INUS condition"", ""distributed causality"", ""Newtonian physics"", ""unstable equilibrium""], [""theoretical frameworks"", ""equations of motion"", ""symmetry principles"", ""explicit symmetry breaking"", ""theoretical mechanics""], [""angular momentum formalism"", ""Noether charge"", ""rotational invariance"", ""differential forms""], [""phase space continuity"", ""stochastic differential equations"", ""kinematic dynamo"", ""supersymmetry""], [""Maxwell's equations"", ""classical mechanics"", ""classical electrodynamics"", ""electromagnetism"", ""unified field theory""], [""spontaneous symmetry breaking"", ""local operator"", ""quantum field theory"", ""vacuum expectation value"", ""gauge symmetry""], [""stochastic supersymmetric principle"", ""hydromagnetic dynamo"", ""deterministic chaos"", ""kinematic approximation"", ""induction equation""], [""parity violation"", ""time invariance"", ""Ozma Problem"", ""parity"", ""mirror asymmetry"", ""chirality"", ""subatomic physics""], [""action principle"", ""Hamiltonian mechanics"", ""Euler-Lagrange equations"", ""Poisson algebra"", ""Peierls bracket"", ""quotient algebra"", ""canonical quantization""], [""approximate symmetry"", ""equations of motion"", ""explicit symmetry breaking"", ""symmetry principles""], [""special relativity"", ""spacetime physics"", ""inertial reference frame"", ""relativity of simultaneity""], [""classical mechanics"", ""wave-particle duality"", ""Euclidean space"", ""macroscopic motion"", ""quantum mechanics""], [""information loss paradox"", ""black hole evaporation"", ""Hawking radiation"", ""quantum mechanics""], [""special relativity"", ""Lorentz invariance"", ""Lorentz group"", ""boost velocity"", ""four-tensors"", ""spacetime manifold"", ""four-vectors""], [""special relativity"", ""four-dimensional model"", ""Minkowski space"", ""non-inertial reference frame"", ""spacetime manifold""], [""special relativity"", ""Minkowski diagram"", ""Lorentz transformations"", ""relativistic mechanics""], [""Modified Newtonian dynamics"", ""non-baryonic matter"", ""entropic gravity"", ""tensor\u2013vector\u2013scalar gravity""], [""maximal acceleration"", ""spacetime geometry"", ""Caianiello's theory"", ""quantum gravity""]]"
Fluid Dynamics,95,"[[""pressure-temperature spike"", ""cavitation bubble"", ""acoustic shock wave"", ""implosion""], [""cavitation bubble"", ""implosion"", ""thermal energy release"", ""energy release"", ""vapor pressure"", ""acoustic shock wave""], [""heat transfer"", ""forced convection"", ""density displacement"", ""buoyancy-driven flow"", ""fluid flow"", ""natural convection""], [""fluid mechanics"", ""fluid velocity"", ""aerodynamic effects"", ""Bernoulli's principle"", ""pressure differential""], [""multi-scale motions"", ""time-averaged statistics"", ""coherent turbulent structures"", ""temporal coherence""], [""vapor pressure"", ""implosion dynamics"", ""cavitation bubble"", ""acoustic shock wave""], [""cavitation bubble"", ""vapor implosion"", ""pressure-temperature spikes"", ""acoustic shock wave"", ""pressure enhancement""], [""Bernoulli's principle"", ""fluid mechanics"", ""velocity-pressure relationship"", ""pressure differential""], [""fluid mechanics"", ""viscosity"", ""stress tensor"", ""Cauchy momentum equation"", ""Navier-Stokes equation"", ""constitutive relation"", ""fluid viscosity"", ""momentum conservation""], [""Newtonian fluids"", ""Navier-Stokes equations"", ""momentum balance"", ""partial differential equations"", ""conservation of mass"", ""viscous fluid substances""], [""fluid mechanics"", ""shock wave"", ""water hammer"", ""plumbing systems"", ""hydraulic transients"", ""pressure surge""], [""deposition patterns"", ""evaporation dynamics"", ""coffee ring effect"", ""evaporation kinetics"", ""particle-laden liquid"", ""surface tension""], [""Kutta condition"", ""circulation"", ""Kutta-Joukowski theorem"", ""inviscid flow"", ""airfoil aerodynamics""]]"
Quantum Mechanics,91,"[[""wave function"", ""Hilbert space"", ""quantum framework"", ""complex vector space"", ""quantum state vector""], [""quantum mechanical structure"", ""Hilbert space"", ""quantum mechanics"", ""complex vector space"", ""state vector""], [""Hamiltonians"", ""partner Hamiltonians"", ""energy spectra"", ""eigenstates"", ""supersymmetric quantum mechanics""], [""noble gas"", ""wave framework"", ""Ramsauer-Townsend effect"", ""wave principle"", ""electron scattering"", ""quantum mechanics""], [""linear momentum"", ""quantum framework"", ""particle spin"", ""angular momentum"", ""quantum dynamics""], [""quantum mechanical mechanism"", ""Hilbert space"", ""quantum framework"", ""complex vector space"", ""state vector""], [""wave framework"", ""Ramsauer-Townsend effect"", ""noble gas interaction"", ""wave theory"", ""electron scattering""], [""quantum mechanical framework"", ""Hilbert space"", ""complex vector space"", ""state vector"", ""quantum state""], [""probability amplitudes"", ""wave function"", ""classical analogy"", ""quantum state""], [""spin quantum number"", ""elementary particles"", ""reduced Planck constant"", ""angular momentum""], [""physical framework"", ""linear momentum"", ""quantum mechanics"", ""particle spin"", ""angular momentum"", ""point-like motions""], [""Hamiltonians"", ""energy degeneracy"", ""eigenstates"", ""supersymmetric quantum mechanics""], [""quasiprobability distribution"", ""phase space"", ""quantum-mechanical interference"", ""Liouville density""], [""Wigner function"", ""phase-space integral"", ""Wigner transform"", ""Moyal bracket"", ""density matrix operator""], [""Ramsauer-Townsend effect"", ""noble gas interaction"", ""wave principle"", ""electron scattering""], [""quantized eigenvalues"", ""Heisenberg uncertainty principle"", ""spin"", ""tensorial operator"", ""angular momentum""], [""particle spin"", ""Newton's second law"", ""angular momentum"", ""point-like motions""], [""superposition principle"", ""probability amplitudes"", ""wave function"", ""superposition principles"", ""quantum state""]]"
Thermodynamics,79,"[[""heat transfer"", ""forced convection"", ""density displacement"", ""buoyancy-driven flow"", ""fluid dynamics"", ""natural convection""], [""internal state"", ""thermodynamic operation"", ""inhomogeneous physical structure"", ""equilibrium dynamics"", ""substructures""], [""internal state"", ""thermodynamic operation"", ""inhomogeneous physical system"", ""subsystem isolation""], [""isolated system"", ""inhomogeneous physical framework"", ""internal state"", ""thermodynamic operation"", ""subframeworks""], [""grey bodies"", ""emissivity"", ""Stefan-Boltzmann law"", ""radiative behavior"", ""black-body radiation""], [""internal state"", ""thermodynamic operation"", ""inhomogeneous physical framework"", ""substructure equilibrium""], [""pressure drop"", ""adiabatic flow"", ""refrigeration cycle"", ""fluid dynamics"", ""throttling process"", ""flow resistance""], [""quasi-static process"", ""thermal reservoirs"", ""Carnot engine"", ""heat engine efficiency""], [""heat transfer"", ""surface properties"", ""radiative heat transfer"", ""emissivity"", ""thermal radiation""], [""surface phenomena"", ""non-volatile materials"", ""particle dynamics"", ""reactive Leidenfrost effect""], [""isolated system"", ""submechanisms"", ""inhomogeneous physical mechanism"", ""internal state"", ""thermodynamic operation""], [""isolated systems"", ""submechanisms"", ""inhomogeneous physical mechanism"", ""inhomogeneous physical framework"", ""internal state"", ""thermodynamic operation"", ""substructures""], [""statistical mechanics"", ""kinetic theory"", ""entropy"", ""Maxwell's Demon"", ""second law of thermodynamics""], [""cyclic process"", ""internal energy"", ""heat energy interconversions"", ""second law of thermodynamics"", ""conservation of energy""]]"
Particle Physics,77,"[[""early universe"", ""baryogenesis"", ""matter asymmetry"", ""quark-antiquark pairs""], [""quarks"", ""antiquarks"", ""particle density"", ""quantum chromodynamics"", ""chemical potential""], [""early universe"", ""baryogenesis"", ""quark-antiquark pairs"", ""matter-antimatter asymmetry"", ""baryon asymmetry""], [""mass generation"", ""elementary particles"", ""Higgs boson"", ""gauge bosons"", ""Standard Model""], [""proximity-focusing"", ""photon detector plane"", ""Cherenkov radiation"", ""Cherenkov emission"", ""RICH detector""], [""magnetic monopole"", ""electromagnetism"", ""elementary particle"", ""isolated magnetic pole""], [""CP symmetry"", ""weak interactions"", ""Nobel Prize physics"", ""Kobayashi-Maskawa matrix"", ""Standard Model""], [""noble liquid detectors"", ""interaction cross section"", ""dark matter experiments"", ""dark matter detection"", ""scintillation"", ""cryogenic detectors""], [""baryon structure"", ""color charges"", ""quark-diquark models"", ""effective supersymmetry""]]"
General Relativity,63,"[[""linear momentum"", ""general principle of relativity"", ""frame dragging"", ""rotational momentum"", ""spacetime curvature""], [""gravitational permeability"", ""rotating matter"", ""time-varying gravitational fields"", ""gravitomagnetic interaction"", ""Meissner effect"", ""general relativity""], [""speed of gravity"", ""gravitational waves"", ""Einstein's field equations"", ""coordinate mechanism""], [""Schwarzschild black hole"", ""angular momentum"", ""spherical symmetry"", ""Birkhoff's theorem""], [""coordinate framework"", ""speed of gravity"", ""gravitational waves"", ""coordinate mechanism"", ""Einsteinian physics""], [""general principle of relativity"", ""rotational momentum"", ""linear frame dragging"", ""spacetime curvature""], [""gravitational permeability"", ""rotating matter"", ""general principle of relativity"", ""Meissner effect analogue"", ""gravitomagnetic interaction"", ""frame-dragging""], [""Gravity Probe B"", ""geodetic effect"", ""gravitomagnetism"", ""spacetime curvature"", ""de Sitter precession""], [""quadrupole formula"", ""gravitational waves"", ""wave amplitude"", ""spacetime oscillation""]]"
Condensed Matter Physics,56,"[[""magnetic fields"", ""De Haas-Van Alphen effect"", ""magnetization"", ""Fermi surface"", ""differential susceptibility""], [""quantum phenomena"", ""magnetic field"", ""electromagnetic phenomena"", ""spin axis"", ""superconductor"", ""quantum mechanics""], [""density of states"", ""metallic conductivity"", ""electronic entropy"", ""Fermi level"", ""insulator properties""], [""microscopic length scales"", ""permittivity"", ""wavevector dependence"", ""material parameters"", ""spatial dispersion"", ""continuous media""], [""density of states"", ""solid-state physics"", ""electronic entropy"", ""Fermi level"", ""insulators and metals""], [""physical structure"", ""physical systems"", ""phase transitions"", ""symmetry breaking"", ""order parameter""], [""physical framework"", ""physical mechanisms"", ""phase transitions"", ""symmetry breaking"", ""order parameter""], [""magnetic field oscillations"", ""AC permeability"", ""De Haas-Van Alphen effect"", ""Fermi surface"", ""differential susceptibility""], [""collective field"", ""electromagnetic gauge symmetry"", ""superconductors"", ""order parameter""]]"
Materials Science,56,"[[""electrical resistance"", ""lattice vibrations"", ""metallic conductivity"", ""ionic impurities""], [""transformation temperature"", ""proeutectoid"", ""microstructure"", ""phase transformation"", ""base metal solidification"", ""solidification"", ""eutectoid level""], [""non-crystalline alloys"", ""electrical resistivity"", ""coercivity"", ""low coercivity"", ""hysteresis loss"", ""amorphous ferromagnetic metallic alloys"", ""high permeability""], [""shear strength"", ""mechanical properties"", ""metallurgy"", ""upper critical temperature"", ""tensile strength"", ""grain growth""], [""thermal vibrations"", ""electrical resistance"", ""lattice vibrations"", ""thermal vibration"", ""metallic purity"", ""ionic irregularities""], [""high-frequency optics"", ""high-frequency response"", ""high-frequency refraction"", ""optical transparency"", ""electromagnetic absorption"", ""dielectric loss"", ""material transparency""], [""electromagnetic absorption"", ""high-frequency propagation"", ""dielectric loss"", ""material transparency""], [""crystal oscillators"", ""piezoelectric strain coefficient"", ""electromechanical coupling"", ""AT-cut quartz"", ""crystal lattice""]]"
Neuromorphic Engineering,56,"[[""memristive network"", ""Type-II non-crossing curve"", ""two-terminal resistance memory"", ""ReRAM"", ""pinched hysteresis curves""], [""synapse transistor"", ""activity-based forgetting"", ""neuro-inspired circuits"", ""inactivity-based forgetting"", ""short-term potentiation""], [""domain dynamics"", ""resistive switching"", ""ferroelectric memristors"", ""piezoelectric field"", ""non-volatile memory""], [""synapse transistor"", ""synaptic plasticity"", ""neuro-inspired circuits"", ""short-term potentiation""], [""switching mechanism"", ""non-uniform elastic strain"", ""domain dynamics"", ""ferroelectric memristors"", ""piezoelectric field""], [""non-crossing curve"", ""resistance memory"", ""memristor"", ""ReRAM"", ""two-terminal devices"", ""pinched hysteresis curves""], [""thermal fluctuations"", ""memristive devices"", ""resistance-switching processes"", ""free-energy barriers"", ""stochasticity"", ""stochastic switching""], [""memristor"", ""switching resistance states"", ""switching states"", ""two-terminal resistance memory"", ""ReRAM"", ""pinched hysteresis curves""], [""brain\u2013computer interfaces"", ""in-memory computing"", ""physical neural networks"", ""memristor"", ""reconfigurable computing""], [""synapse transistor"", ""inactivity-based forgetting"", ""short-term potentiation"", ""neuro-inspired circuit""]]"
