arxiv_category,keyword_group,query,requested_cap,n_fetched,timestamp
physics.hist-ph,"Copernican principle, Giordano Bruno, celestial mechanics, astronomical philosophy, heliocentrism","cat:physics.hist-ph AND (all:""Copernican principle"" OR all:""Giordano Bruno"" OR all:""celestial mechanics"" OR all:""astronomical philosophy"" OR all:""heliocentrism"")",18,18,2026-07-03T12:57:05.170500+0000
physics.hist-ph,"gravitational force, centripetal force, Hooke-Newton correspondence, Newtonian mechanics","cat:physics.hist-ph AND (all:""gravitational force"" OR all:""centripetal force"" OR all:""Hooke-Newton correspondence"" OR all:""Newtonian mechanics"")",18,18,2026-07-03T12:57:09.310066+0000
physics.hist-ph,"Copernican principle, Giordano Bruno, Copernican concept, Renaissance philosophy, heliocentrism","cat:physics.hist-ph AND (all:""Copernican principle"" OR all:""Giordano Bruno"" OR all:""Copernican concept"" OR all:""Renaissance philosophy"" OR all:""heliocentrism"")",18,18,2026-07-03T12:57:13.441794+0000
physics.hist-ph,"celestial mechanics, Giordano Bruno, Copernican framework, astronomical philosophy","cat:physics.hist-ph AND (all:""celestial mechanics"" OR all:""Giordano Bruno"" OR all:""Copernican framework"" OR all:""astronomical philosophy"")",18,16,2026-07-03T12:57:17.296582+0000
physics.hist-ph,"classical mechanics history, gravitational force, centripetal force, Newton-Hooke correspondence","cat:physics.hist-ph AND (all:""classical mechanics history"" OR all:""gravitational force"" OR all:""centripetal force"" OR all:""Newton-Hooke correspondence"")",18,8,2026-07-03T12:57:20.899085+0000
physics.hist-ph,"radially directed force, Newton's manuscripts, inverse square law, tangential motion, linear inertia","cat:physics.hist-ph AND (all:""radially directed force"" OR all:""Newton's manuscripts"" OR all:""inverse square law"" OR all:""tangential motion"" OR all:""linear inertia"")",18,7,2026-07-03T12:57:24.665346+0000
physics.hist-ph,"Isaac Newton, centripetal force, scientific correspondence, Robert Hooke, gravitational theory","cat:physics.hist-ph AND (all:""Isaac Newton"" OR all:""centripetal force"" OR all:""scientific correspondence"" OR all:""Robert Hooke"" OR all:""gravitational theory"")",18,18,2026-07-03T12:57:28.774964+0000
physics.hist-ph,"astronomical philosophy, Copernican framework, Giordano Bruno, heliocentrism, Copernican concept","cat:physics.hist-ph AND (all:""astronomical philosophy"" OR all:""Copernican framework"" OR all:""Giordano Bruno"" OR all:""heliocentrism"" OR all:""Copernican concept"")",18,18,2026-07-03T12:57:32.694514+0000
cond-mat.mtrl-sci,"electrical resistance, lattice vibrations, metallic conductivity, ionic impurities","cat:cond-mat.mtrl-sci AND (all:""electrical resistance"" OR all:""lattice vibrations"" OR all:""metallic conductivity"" OR all:""ionic impurities"")",13,13,2026-07-03T12:57:37.252533+0000
cond-mat.mtrl-sci,"transformation temperature, base metal solidification, eutectoid level, microstructure, proeutectoid","cat:cond-mat.mtrl-sci AND (all:""transformation temperature"" OR all:""base metal solidification"" OR all:""eutectoid level"" OR all:""microstructure"" OR all:""proeutectoid"")",13,13,2026-07-03T12:57:41.859004+0000
cond-mat.mtrl-sci,"amorphous ferromagnetic metallic alloys, electrical resistivity, high permeability, hysteresis loss, low coercivity","cat:cond-mat.mtrl-sci AND (all:""amorphous ferromagnetic metallic alloys"" OR all:""electrical resistivity"" OR all:""high permeability"" OR all:""hysteresis loss"" OR all:""low coercivity"")",13,13,2026-07-03T12:57:46.229123+0000
cond-mat.mtrl-sci,"upper critical temperature, mechanical properties, tensile strength, grain growth, metallurgy","cat:cond-mat.mtrl-sci AND (all:""upper critical temperature"" OR all:""mechanical properties"" OR all:""tensile strength"" OR all:""grain growth"" OR all:""metallurgy"")",13,13,2026-07-03T12:57:50.614117+0000
